Entry,Score (kcal/mol),cpu,exhaustiveness,seed,num_modes,energy_range,center_x,center_y,center_z,size_x,size_y,size_z
(frame1) compounds:1,-9.626,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame2) compounds:1,-10.032,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame3) compounds:1,-8.07,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame4) compounds:1,-8.728,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame5) compounds:1,-10.513,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame6) compounds:1,-9.85,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame7) compounds:1,-8.996,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame8) compounds:1,-5.963,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame9) compounds:1,-10.649,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame10) compounds:1,-10.333,15,8,1,9,3,18,32.094,12.0135,18,15,20
(frame11) compounds:1,-9.979,15,8,1,9,3,18,32.094,12.0135,18,15,20
