Entry,Score,Druggability,Alpha Spheres,Total SASA,Polar SASA,Apolar SASA,Volume,Mean Local Hydrophobic Density,Mean Alpha Sphere Radius,Mean Alpha Sphere Solvent Access,Apolar Alpha Sphere Proportion,Hydrophobicity Score,Volume Score,Polarity Score,Charge Score,Proportion of Polar Atoms,Alpha Sphere Density,"Center of Mass, Alpha Sphere Max Distance",Flexibility
Pocket1Box,0.207,0.932,96,186.556,51.718,134.838,725.348,44.194,3.978,0.462,0.646,42.76,4.36,9,1,33.333,6.05,15.388,0.08
Pocket2Box,0.14,0.001,43,85.271,42.925,42.346,337.447,8,3.868,0.453,0.209,24.143,4.071,7,0,53.846,3.825,8.716,0.203
Pocket3Box,0.074,0.003,16,27.047,6.517,20.53,102.354,13,3.593,0.373,0.875,52.429,5.857,4,2,21.429,1.784,3.746,0.539
Pocket4Box,0.062,0.009,29,92.017,28.013,64.004,332.885,19.909,3.965,0.515,0.759,18.818,4.364,5,1,31.818,3.905,8.598,0.121
Pocket5Box,0.034,0,16,21.333,12.88,8.453,70.565,2,3.547,0.448,0.188,11.75,3.75,6,0,53.846,1.089,2.021,0.023
Pocket6Box,0.029,0,17,67.243,35.845,31.398,275.646,0,3.958,0.651,0.059,5.625,4,6,3,44.444,3.007,6.887,0.097
Pocket7Box,0.028,0.001,32,105.118,41.114,64.004,357.432,1,3.964,0.49,0.062,6.286,3.571,7,0,58.333,3.967,9.48,0.187
Pocket8Box,0.021,0.027,55,120.741,59.152,61.589,477.281,34,3.948,0.536,0.636,11.75,4.75,7,1,39.394,3.302,10.363,0.214
Pocket9Box,0.016,0.006,41,104.853,51.718,53.136,364.176,16,3.902,0.474,0.415,15.333,4.667,7,0,48.148,3.357,9.213,0.268
Pocket10Box,0.014,0,22,104.373,68.144,36.229,313.866,1.333,3.716,0.436,0.136,50.5,4.8,5,3,55.556,4.212,9.637,0.093
Pocket11Box,0.004,0.002,41,146.078,78.371,67.706,542.855,14.75,3.895,0.504,0.39,20,4.25,8,-2,38.71,4.761,10.475,0.411
Pocket12Box,-0.033,0.002,17,69.462,23.572,45.89,230.486,10,4.062,0.582,0.647,20.778,5.333,6,0,35.714,2.451,5.078,0.118
Pocket13Box,-0.033,0.003,18,88.685,27.096,61.589,265.394,15,4.016,0.719,0.889,0,5.2,4,0,31.579,3.229,6.971,0.186
Pocket14Box,-0.041,0.001,15,110.904,22.589,88.315,282.989,2.667,3.901,0.59,0.4,55.222,4.556,3,0,25,4.24,9.756,0.305
Pocket15Box,-0.058,0,16,65.517,49.818,15.699,200.447,1,3.965,0.523,0.125,21.571,4.429,4,-1,61.538,2.014,3.921,0.355
Pocket16Box,-0.062,0,17,80.08,25.737,54.343,292.727,5,4.117,0.567,0.353,27.875,4.375,4,1,50,2.58,7.085,0.306
Pocket17Box,-0.07,0,20,98.859,51.762,47.098,287.807,9,4.112,0.487,0.5,24.429,5.143,4,2,38.889,3.177,7.862,0.496
Pocket18Box,-0.075,0,16,71.764,35.535,36.229,262.186,7,4.186,0.524,0.5,45,4.75,3,0,41.176,2.11,5.014,0.297
Pocket19Box,-0.078,0.002,24,94.414,37.656,56.759,314.741,13,3.926,0.705,0.583,-1.714,4.429,5,-1,40,2.706,7.027,0.58
Pocket20Box,-0.084,0.001,126,417.055,191.229,225.826,1364.497,22.571,3.922,0.486,0.333,12,3.846,15,-2,43.59,8.3,20.598,0.521
Pocket21Box,-0.111,0.003,29,162.316,57.252,105.064,489.328,9,3.995,0.625,0.345,29,3.2,4,2,44.444,4.912,11.637,0.195
